,Title,Price,Specs,Link
0, Dell OptiPlex 3070 MFF (210-ASBJ) Windows 10 Pro + VESA Mount 452-BCZU , 12 599   ₴ ,Intel Core i3-9100T (3.1 - 3.7 ГГц) / RAM 4 ГБ / HDD 500 ГБ / Intel UHD Graphics 630 / без ОД / LAN / Windows 10 Pro / клавиатура + мышь,http://hard.rozetka.com.ua/dell_210_asbj/p172829756/
1, Acer Veriton S2660G (DT.VQXME.007) , 9 999   ₴ ,Intel Core i5-8400 (2.8 - 4.0 ГГц) / RAM 8 ГБ / HDD 1 ТБ / Intel UHD Graphics 630 / без ОД / LAN / Endless OS,https://hard.rozetka.com.ua/acer_dt_vqxme_007/p64626611/
2, Everest Home 4070 (4070_9414) , 11 799   ₴ ,"Intel Core i3-9100F (3.6 - 4.2 ГГц) / RAM 8 ГБ / HDD 1 ТБ / nVidia GeForce GTX 1050 Ti, 4 ГБ / Без ОД / LAN / без ОС",https://hard.rozetka.com.ua/everest_home_4070_9414/p37242776/
3, Dell OptiPlex 3060 SFF (210-AOIMi3W) Windows 10 Pro , 11 999   ₴ ,Intel Core i3-8100T (3.1 ГГц) / RAM 4 ГБ / SSD 128 ГБ / Intel UHD Graphics 630 / без ОД / LAN  / Windows 10 Pro / клавиатура + мышь,https://hard.rozetka.com.ua/dell_210_aoimi3w/p134168052/
4, Acer Aspire C24-865 (DQ.BBUME.004) Silver , 17 099   ₴ ,"Экран 23.8"" IPS (1920x1080) Full HD LED / Intel Core i5-8250U (1.6 - 3.4 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel UHD Graphics 620 / без ОД / LAN / Wi-Fi / Bluetooth / кардридер / веб-камера / Endless OS / 4.3 кг / серый / клавиатура + мышь",https://hard.rozetka.com.ua/acer_dq_bbume_004/p53832360/
5, Artline Gaming X35 v17 (X35v17) , 13 699   ₴ ,"Intel Core i3-9100F (3.6 - 4.2 ГГц) / RAM 16 ГБ / HDD 1 ТБ + SSD 240 ГБ / nVidia GeForce GTX 1050 Ti, 4 ГБ / без ОД / LAN / без ОС",https://hard.rozetka.com.ua/artline_x35v17/p45579088/
6, Artline Home H25 v15 (H25v15) , 5 199   ₴ ,AMD A8-7680 (3.5 - 3.8 ГГц) / RAM 8 ГБ / SSD 240 ГБ / AMD Radeon HD 8470D / без ОД / LAN / без ОС,https://hard.rozetka.com.ua/artline_home_h25_v15/p76439640/
7, HP 200 G3 AiO (8PG80ES) , 13 999   ₴ ,"Экран 21.5"" IPS (1920x1080) Full HD / Intel Core i3-8130U (2.2 - 3.4 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel UHD Graphics 620 / без ОД / LAN / Wi-Fi / веб-камера / кардридер / без ОС / черный / мышь + клавиатура",https://hard.rozetka.com.ua/hp_8pg80es/p185233336/
8, Dell OptiPlex 3060 SFF (N041O3060SFF-08) , 10 599   ₴ ,Intel Core i3-8100 (3.6 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel UHD Graphics 630 / DVD+/-RW / LAN / Linux / клавиатура + мышь,https://hard.rozetka.com.ua/dell_n041o3060sff_08/p157000705/
9, Моноблок HP AiO 20-c401ur (4GU78EA) White , 6 999   ₴ ,"Экран 19.5"" SVA (1920x1080) Full HD / Intel Celeron J4005 (2.0 - 2.7 ГГц) / RAM 4 ГБ / HDD 500 ГБ / Intel UHD Graphics 600 / DVD+/-RW / LAN / Wi-Fi / Bluetooth / кардридер / веб-камера / DOS / 4.4 кг / белый / клавиатура + мышь",https://hard.rozetka.com.ua/hp_4gu78ea/p75553092/
10, ARTLINE Gaming X48 v09 (X48v09) , 15 999   ₴ ,"AMD Ryzen 5 1600 (3.2 - 3.6 ГГц) / RAM 16 ГБ / HDD 1 ТБ + SSD 240 ГБ / AMD Radeon RX 580, 8 ГБ / без ОД / LAN / без ОС",https://hard.rozetka.com.ua/artline_x48v09/p116294137/
11, Acer Aspire C24-865 (DQ.BBTME.005) Silver , 16 099   ₴ ,"Экран 23.8"" (1920x1080) Full HD IPS / Intel Core i3-8130U (2.2 - 3.4 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel UHD Graphics 620 / без ОД / LAN / Wi-Fi / Bluetooth / кардридер / веб-камера / Endless OS / 4 кг / серый / клавиатура + мышь",https://hard.rozetka.com.ua/acer_dq_bbtme_005/p59591260/
12, Моноблок HP AiO 22-c0009ur (4GV07EA) White , 8 599   ₴ ,"Экран 21.5"" IPS (1920x1080) Full HD / Intel Celeron J4005 (2.0 - 2.7 ГГц) / RAM 4 ГБ / HDD 500 ГБ / Intel UHD Graphics 600 / DVD+/-RW / LAN / Wi-Fi / Bluetooth / кардридер / веб-камера / DOS / 5.39 кг / белый / клавиатура + мышь",https://hard.rozetka.com.ua/hp_4gv07ea/p75559080/
13, ARTLINE Gaming X26 v09 (X26v09) , 10 699   ₴ ,"AMD Ryzen 3 1200 (3.1 - 3.4 ГГц) / RAM 8 ГБ / HDD 1 ТБ / nVidia GeForce GTX 1050 Ti, 4 ГБ / без ОД / LAN / без ОС",https://hard.rozetka.com.ua/artline_gaming_x26_v09/p120307318/
14, Acer Veriton S2660G (DT.VQXME.005) , 7 999   ₴ ,Intel Core i3-8100 (3.6 ГГц) / RAM 8 ГБ / HDD 1 ТБ / Intel UHD Graphics 630 / без ОД / LAN / Endless OS,http://hard.rozetka.com.ua/acer_dt_vqxme_005/p180034198/
15, ARTLINE Overlord X92 v06 (X92v06) , 49 999   ₴ ,"AMD Ryzen 7 3800X (3.9 - 4.5 ГГц) / RAM 32 ГБ / HDD 4 ТБ + SSD 500 ГБ / nVidia GeForce RTX 2080, 8 ГБ / без ОД / LAN / без ОС",https://hard.rozetka.com.ua/artline_x92v06/p116316727/
16, Acer Aspire C22-865 (DQ.BBSME.016) Silver , 16 599   ₴ ,"Экран 21.5"" (1920x1080) Full HD / Intel Core i5-8250U (1.6 - 3.4 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel UHD Graphics 620 / без ОД / LAN / Wi-Fi / Bluetooth / кардридер / веб-камера / Endless OS / 3.5 кг / серый",https://hard.rozetka.com.ua/acer_dq_bbsme_016/p183984347/
